answer,question
Как опубликовать новость на официальном сайте исполнительного органа?,"Если пришла заявка на предоставление/изменение доступа (не от Задерная Н.В., Колесникова Д. В., Сергеева А.В., Кузнецова Е.И., Куликова Е.С., Берендеева Е.А., Феоктистова Е.А.) на сайт исполнительного органа, тематический сайт, портал открытых данных, портал НПА (regulation), то пишем комментарий:
 ""Здравствуйте. Запрос на предоставление/изменение доступа по данному ресурсу необходимо направлять на Депинформтехнологий Югры официальным письмом.
 - Форма заявки для сайта исполнительного органа (тематический сайт) находится по ссылке https://disk.yandex.ru/i/s63-oVSUsGuUlA
 - Форма заявки для портала открытых данных для исполнительных органов находится по ссылке https://disk.yandex.ru/i/kvy5EJHZBcJlIQ
 - Форма заявки для портала открытых данных для МО находится по ссылке https://disk.yandex.ru/i/yPum56S8IkHrQA
 -Форма заявки для портала НПА для исполнительных органов находится по ссылке https://disk.yandex.ru/i/71cBrPxBbA2p7Q
 - Форма заявки для портала НПА для МО находится по ссылке https://disk.yandex.ru/i/kU7GgVquDF3C4w
 
 Если в заявке указано, что нужно заменить файл на любых сайтах admhmao, должен быть:
 Ссылка на ресурс, файл, поле/строка где нужно изменить, ID поекта (только на regulation).
 Комментарий: ""Добрый день, приложите, пожалуйста, ссылку, файл, поле/строку где нужно изменить"".
 
 При поступлении заявок на удаление наборов с Портала ОД направлять на согласование ""ДИТ (Сайт, портал - согласование)"".
 
 По иным вопросам:
 Категория и группа: ЮНИИИТ &gt; Сайт admhmao.ru
 
 Ключевые слова: портал НПА,портал проектов НПА,порталу проектов НПА,regulation,открытые данные,портал открытых данных,форум,id проект,виджет,портале admhmao,сайт admhmao,,сайте Депгосслужб,data.admhmao.ru,оф.сайт,оф. сайт,официальный сайт,prirodnadzor,экособытия,канбан и иные сайты (https://disk.yandex.ru/i/_fuy7rKXNJTRrg)
 Ключевые фразы:
 - канбан (#242170)
 - сайт ОП Югры (Общественной палаты)
 - 193.138.89.28 или - Портал проектов НПА (regulation.admhmao.ru)"
Как создать новую страницу на тематическом сайте?,"Если пришла заявка на предоставление/изменение доступа (не от Задерная Н.В., Колесникова Д. В., Сергеева А.В., Кузнецова Е.И., Куликова Е.С., Берендеева Е.А., Феоктистова Е.А.) на сайт исполнительного органа, тематический сайт, портал открытых данных, портал НПА (regulation), то пишем комментарий:
 ""Здравствуйте. Запрос на предоставление/изменение доступа по данному ресурсу необходимо направлять на Депинформтехнологий Югры официальным письмом.
 - Форма заявки для сайта исполнительного органа (тематический сайт) находится по ссылке https://disk.yandex.ru/i/s63-oVSUsGuUlA
 - Форма заявки для портала открытых данных для исполнительных органов находится по ссылке https://disk.yandex.ru/i/kvy5EJHZBcJlIQ
 - Форма заявки для портала открытых данных для МО находится по ссылке https://disk.yandex.ru/i/yPum56S8IkHrQA
 -Форма заявки для портала НПА для исполнительных органов находится по ссылке https://disk.yandex.ru/i/71cBrPxBbA2p7Q
 - Форма заявки для портала НПА для МО находится по ссылке https://disk.yandex.ru/i/kU7GgVquDF3C4w
 
 Если в заявке указано, что нужно заменить файл на любых сайтах admhmao, должен быть:
 Ссылка на ресурс, файл, поле/строка где нужно изменить, ID поекта (только на regulation).
 Комментарий: ""Добрый день, приложите, пожалуйста, ссылку, файл, поле/строку где нужно изменить"".
 
 При поступлении заявок на удаление наборов с Портала ОД направлять на согласование ""ДИТ (Сайт, портал - согласование)"".
 
 По иным вопросам:
 Категория и группа: ЮНИИИТ &gt; Сайт admhmao.ru
 
 Ключевые слова: портал НПА,портал проектов НПА,порталу проектов НПА,regulation,открытые данные,портал открытых данных,форум,id проект,виджет,портале admhmao,сайт admhmao,,сайте Депгосслужб,data.admhmao.ru,оф.сайт,оф. сайт,официальный сайт,prirodnadzor,экособытия,канбан и иные сайты (https://disk.yandex.ru/i/_fuy7rKXNJTRrg)
 Ключевые фразы:
 - канбан (#242170)
 - сайт ОП Югры (Общественной палаты)
 - 193.138.89.28 или - Портал проектов НПА (regulation.admhmao.ru)"
Как настроить виджет на портале проектов НПА (regulation)?,"Если пришла заявка на предоставление/изменение доступа (не от Задерная Н.В., Колесникова Д. В., Сергеева А.В., Кузнецова Е.И., Куликова Е.С., Берендеева Е.А., Феоктистова Е.А.) на сайт исполнительного органа, тематический сайт, портал открытых данных, портал НПА (regulation), то пишем комментарий:
 ""Здравствуйте. Запрос на предоставление/изменение доступа по данному ресурсу необходимо направлять на Депинформтехнологий Югры официальным письмом.
 - Форма заявки для сайта исполнительного органа (тематический сайт) находится по ссылке https://disk.yandex.ru/i/s63-oVSUsGuUlA
 - Форма заявки для портала открытых данных для исполнительных органов находится по ссылке https://disk.yandex.ru/i/kvy5EJHZBcJlIQ
 - Форма заявки для портала открытых данных для МО находится по ссылке https://disk.yandex.ru/i/yPum56S8IkHrQA
 -Форма заявки для портала НПА для исполнительных органов находится по ссылке https://disk.yandex.ru/i/71cBrPxBbA2p7Q
 - Форма заявки для портала НПА для МО находится по ссылке https://disk.yandex.ru/i/kU7GgVquDF3C4w
 
 Если в заявке указано, что нужно заменить файл на любых сайтах admhmao, должен быть:
 Ссылка на ресурс, файл, поле/строка где нужно изменить, ID поекта (только на regulation).
 Комментарий: ""Добрый день, приложите, пожалуйста, ссылку, файл, поле/строку где нужно изменить"".
 
 При поступлении заявок на удаление наборов с Портала ОД направлять на согласование ""ДИТ (Сайт, портал - согласование)"".
 
 По иным вопросам:
 Категория и группа: ЮНИИИТ &gt; Сайт admhmao.ru
 
 Ключевые слова: портал НПА,портал проектов НПА,порталу проектов НПА,regulation,открытые данные,портал открытых данных,форум,id проект,виджет,портале admhmao,сайт admhmao,,сайте Депгосслужб,data.admhmao.ru,оф.сайт,оф. сайт,официальный сайт,prirodnadzor,экособытия,канбан и иные сайты (https://disk.yandex.ru/i/_fuy7rKXNJTRrg)
 Ключевые фразы:
 - канбан (#242170)
 - сайт ОП Югры (Общественной палаты)
 - 193.138.89.28 или - Портал проектов НПА (regulation.admhmao.ru)"
Как добавить новые наборы данных на портал открытых данных?,"Если пришла заявка на предоставление/изменение доступа (не от Задерная Н.В., Колесникова Д. В., Сергеева А.В., Кузнецова Е.И., Куликова Е.С., Берендеева Е.А., Феоктистова Е.А.) на сайт исполнительного органа, тематический сайт, портал открытых данных, портал НПА (regulation), то пишем комментарий:
 ""Здравствуйте. Запрос на предоставление/изменение доступа по данному ресурсу необходимо направлять на Депинформтехнологий Югры официальным письмом.
 - Форма заявки для сайта исполнительного органа (тематический сайт) находится по ссылке https://disk.yandex.ru/i/s63-oVSUsGuUlA
 - Форма заявки для портала открытых данных для исполнительных органов находится по ссылке https://disk.yandex.ru/i/kvy5EJHZBcJlIQ
 - Форма заявки для портала открытых данных для МО находится по ссылке https://disk.yandex.ru/i/yPum56S8IkHrQA
 -Форма заявки для портала НПА для исполнительных органов находится по ссылке https://disk.yandex.ru/i/71cBrPxBbA2p7Q
 - Форма заявки для портала НПА для МО находится по ссылке https://disk.yandex.ru/i/kU7GgVquDF3C4w
 
 Если в заявке указано, что нужно заменить файл на любых сайтах admhmao, должен быть:
 Ссылка на ресурс, файл, поле/строка где нужно изменить, ID поекта (только на regulation).
 Комментарий: ""Добрый день, приложите, пожалуйста, ссылку, файл, поле/строку где нужно изменить"".
 
 При поступлении заявок на удаление наборов с Портала ОД направлять на согласование ""ДИТ (Сайт, портал - согласование)"".
 
 По иным вопросам:
 Категория и группа: ЮНИИИТ &gt; Сайт admhmao.ru
 
 Ключевые слова: портал НПА,портал проектов НПА,порталу проектов НПА,regulation,открытые данные,портал открытых данных,форум,id проект,виджет,портале admhmao,сайт admhmao,,сайте Депгосслужб,data.admhmao.ru,оф.сайт,оф. сайт,официальный сайт,prirodnadzor,экособытия,канбан и иные сайты (https://disk.yandex.ru/i/_fuy7rKXNJTRrg)
 Ключевые фразы:
 - канбан (#242170)
 - сайт ОП Югры (Общественной палаты)
 - 193.138.89.28 или - Портал проектов НПА (regulation.admhmao.ru)"
Как удалить устаревшие данные с портала открытых данных?,"Если пришла заявка на предоставление/изменение доступа (не от Задерная Н.В., Колесникова Д. В., Сергеева А.В., Кузнецова Е.И., Куликова Е.С., Берендеева Е.А., Феоктистова Е.А.) на сайт исполнительного органа, тематический сайт, портал открытых данных, портал НПА (regulation), то пишем комментарий:
 ""Здравствуйте. Запрос на предоставление/изменение доступа по данному ресурсу необходимо направлять на Депинформтехнологий Югры официальным письмом.
 - Форма заявки для сайта исполнительного органа (тематический сайт) находится по ссылке https://disk.yandex.ru/i/s63-oVSUsGuUlA
 - Форма заявки для портала открытых данных для исполнительных органов находится по ссылке https://disk.yandex.ru/i/kvy5EJHZBcJlIQ
 - Форма заявки для портала открытых данных для МО находится по ссылке https://disk.yandex.ru/i/yPum56S8IkHrQA
 -Форма заявки для портала НПА для исполнительных органов находится по ссылке https://disk.yandex.ru/i/71cBrPxBbA2p7Q
 - Форма заявки для портала НПА для МО находится по ссылке https://disk.yandex.ru/i/kU7GgVquDF3C4w
 
 Если в заявке указано, что нужно заменить файл на любых сайтах admhmao, должен быть:
 Ссылка на ресурс, файл, поле/строка где нужно изменить, ID поекта (только на regulation).
 Комментарий: ""Добрый день, приложите, пожалуйста, ссылку, файл, поле/строку где нужно изменить"".
 
 При поступлении заявок на удаление наборов с Портала ОД направлять на согласование ""ДИТ (Сайт, портал - согласование)"".
 
 По иным вопросам:
 Категория и группа: ЮНИИИТ &gt; Сайт admhmao.ru
 
 Ключевые слова: портал НПА,портал проектов НПА,порталу проектов НПА,regulation,открытые данные,портал открытых данных,форум,id проект,виджет,портале admhmao,сайт admhmao,,сайте Депгосслужб,data.admhmao.ru,оф.сайт,оф. сайт,официальный сайт,prirodnadzor,экособытия,канбан и иные сайты (https://disk.yandex.ru/i/_fuy7rKXNJTRrg)
 Ключевые фразы:
 - канбан (#242170)
 - сайт ОП Югры (Общественной палаты)
 - 193.138.89.28 или - Портал проектов НПА (regulation.admhmao.ru)"
Как удалить устаревшие данные с портала открытых данных?,"Если пришла заявка на предоставление/изменение доступа (не от Задерная Н.В., Колесникова Д. В., Сергеева А.В., Кузнецова Е.И., Куликова Е.С., Берендеева Е.А., Феоктистова Е.А.) на сайт исполнительного органа, тематический сайт, портал открытых данных, портал НПА (regulation), то пишем комментарий:
 ""Здравствуйте. Запрос на предоставление/изменение доступа по данному ресурсу необходимо направлять на Депинформтехнологий Югры официальным письмом.
 - Форма заявки для сайта исполнительного органа (тематический сайт) находится по ссылке https://disk.yandex.ru/i/s63-oVSUsGuUlA
 - Форма заявки для портала открытых данных для исполнительных органов находится по ссылке https://disk.yandex.ru/i/kvy5EJHZBcJlIQ
 - Форма заявки для портала открытых данных для МО находится по ссылке https://disk.yandex.ru/i/yPum56S8IkHrQA
 -Форма заявки для портала НПА для исполнительных органов находится по ссылке https://disk.yandex.ru/i/71cBrPxBbA2p7Q
 - Форма заявки для портала НПА для МО находится по ссылке https://disk.yandex.ru/i/kU7GgVquDF3C4w
 
 Если в заявке указано, что нужно заменить файл на любых сайтах admhmao, должен быть:
 Ссылка на ресурс, файл, поле/строка где нужно изменить, ID поекта (только на regulation).
 Комментарий: ""Добрый день, приложите, пожалуйста, ссылку, файл, поле/строку где нужно изменить"".
 
 При поступлении заявок на удаление наборов с Портала ОД направлять на согласование ""ДИТ (Сайт, портал - согласование)"".
 
 По иным вопросам:
 Категория и группа: ЮНИИИТ &gt; Сайт admhmao.ru
 
 Ключевые слова: портал НПА,портал проектов НПА,порталу проектов НПА,regulation,открытые данные,портал открытых данных,форум,id проект,виджет,портале admhmao,сайт admhmao,,сайте Депгосслужб,data.admhmao.ru,оф.сайт,оф. сайт,официальный сайт,prirodnadzor,экособытия,канбан и иные сайты (https://disk.yandex.ru/i/_fuy7rKXNJTRrg)
 Ключевые фразы:
 - канбан (#242170)
 - сайт ОП Югры (Общественной палаты)
 - 193.138.89.28 или - Портал проектов НПА (regulation.admhmao.ru)"
Сопровождение ЦОП,"ЦОП (Цифровая образовательная платформа, cop.admhmao.ru)
 Категория и группа: ЮНИИИТ &gt; сопровождение ЦОП
 Ключевые слова: ребенка, журнал, питание, группа, класс, родители, обучающиеся, дневник"
Как добавить нового ученика в класс в системе ЦОП?,"ЦОП (Цифровая образовательная платформа, cop.admhmao.ru)
 Категория и группа: ЮНИИИТ &gt; сопровождение ЦОП
 Ключевые слова: ребенка, журнал, питание, группа, класс, родители, обучающиеся, дневник"
Как изменить информацию о питании ребенка в системе ЦОП?,"ЦОП (Цифровая образовательная платформа, cop.admhmao.ru)
 Категория и группа: ЮНИИИТ &gt; сопровождение ЦОП
 Ключевые слова: ребенка, журнал, питание, группа, класс, родители, обучающиеся, дневник"
Как создать новую группу в классе в системе ЦОП?,"ЦОП (Цифровая образовательная платформа, cop.admhmao.ru)
 Категория и группа: ЮНИИИТ &gt; сопровождение ЦОП
 Ключевые слова: ребенка, журнал, питание, группа, класс, родители, обучающиеся, дневник"
Как предоставить родителям доступ к электронному дневнику их ребенка в системе ЦОП?,"ЦОП (Цифровая образовательная платформа, cop.admhmao.ru)
 Категория и группа: ЮНИИИТ &gt; сопровождение ЦОП
 Ключевые слова: ребенка, журнал, питание, группа, класс, родители, обучающиеся, дневник"
Как редактировать записи в электронном журнале в системе ЦОП?,"ЦОП (Цифровая образовательная платформа, cop.admhmao.ru)
 Категория и группа: ЮНИИИТ &gt; сопровождение ЦОП
 Ключевые слова: ребенка, журнал, питание, группа, класс, родители, обучающиеся, дневник"
Как редактировать записи в электронном журнале в системе ЦОП?,"ЦОП (Цифровая образовательная платформа, cop.admhmao.ru)
 Категория и группа: ЮНИИИТ &gt; сопровождение ЦОП
 Ключевые слова: ребенка, журнал, питание, группа, класс, родители, обучающиеся, дневник"
Как предоставить родителям доступ к электронному дневнику их ребенка в системе ЦОП?,"ЦОП (Цифровая образовательная платформа, cop.admhmao.ru)
 Категория и группа: ЮНИИИТ &gt; сопровождение ЦОП
 Ключевые слова: ребенка, журнал, питание, группа, класс, родители, обучающиеся, дневник"
VipNet,"Вопросы, связанные с установкой и настройкой VIPNET (расширение файла .dst) назначаем на категорию и группу: ЮНИИИТ &gt; Средства защиты информации VipNet
 Если вопрос по СЭД Делу и VipNet подключения к нему пример (287489). 
 Добавляем комментарий:
 ""Добрый день!
 1. Проверьте правильность времени, даты и часового пояса
 2. Перезапустите драйвер «Файл» - «Конфигурация» - «Отключить защиту» и так же только «Включить защиту»""
 Если проблема с доступом сохраняется назначаем на СЗИ VipNet
 Випнет для Бюджетных учреждений (БУ) .dst (дст) необходимо согласовывать с ДИТ УИБ
 VipNet обслуживает только исполнительные органы и МФЦ (Энгельса 45)
 Иные МФЦ не обслуживают, поэтому направлять на категорию ""МФЦ Техподдержка"" (пример, 284591)
 Доступ к ИС АКНДПП осуществляется через VipNet (пример 327899)
 доступ через КСПД
 Подведомственные организации не обслуживаются (УТОЧНИТЬ). Например, МИАЦ не обслуживают.
 ---
 Если заявка на подключение к VipNet (кроме руководящего состава, они сразу назначаются на категорию):
 ""Здравствуйте, подскажите, пожалуйста, планируется подключить новых сотрудников на старые (обустроенные) места ?
  Если да, то укажите, пожалуйста, наименование абонентских пунктов VipNet предыдущих пользователей?"" 
 Если указали наименования пунктов, то на VipNet, а если нужен новый, то направляем на согласование ДИТ УИБ, после согласования на VipNet (Зарубин от 23.08.2024) 
 
 Коллеги из группы VipNet к ссылкам отношения не имеют, ссылка запрашивается у куратора системы.
 
 Ссылки VipNet: 
 http://pm.admhmao.ru/statehrmcorp/ - Подключение к ГИС УК через Випнет из КС ОГВ
 http://192.168.210.195/statehrmcorp/ - Подключение к ГИС УК через Випнет вне КС ОГВ"
Как установить сертификат VipNet на новое устройство?,"Вопросы, связанные с установкой и настройкой VIPNET (расширение файла .dst) назначаем на категорию и группу: ЮНИИИТ &gt; Средства защиты информации VipNet
 Если вопрос по СЭД Делу и VipNet подключения к нему пример (287489). 
 Добавляем комментарий:
 ""Добрый день!
 1. Проверьте правильность времени, даты и часового пояса
 2. Перезапустите драйвер «Файл» - «Конфигурация» - «Отключить защиту» и так же только «Включить защиту»""
 Если проблема с доступом сохраняется назначаем на СЗИ VipNet
 Випнет для Бюджетных учреждений (БУ) .dst (дст) необходимо согласовывать с ДИТ УИБ
 VipNet обслуживает только исполнительные органы и МФЦ (Энгельса 45)
 Иные МФЦ не обслуживают, поэтому направлять на категорию ""МФЦ Техподдержка"" (пример, 284591)
 Доступ к ИС АКНДПП осуществляется через VipNet (пример 327899)
 доступ через КСПД
 Подведомственные организации не обслуживаются (УТОЧНИТЬ). Например, МИАЦ не обслуживают.
 ---
 Если заявка на подключение к VipNet (кроме руководящего состава, они сразу назначаются на категорию):
 ""Здравствуйте, подскажите, пожалуйста, планируется подключить новых сотрудников на старые (обустроенные) места ?
  Если да, то укажите, пожалуйста, наименование абонентских пунктов VipNet предыдущих пользователей?"" 
 Если указали наименования пунктов, то на VipNet, а если нужен новый, то направляем на согласование ДИТ УИБ, после согласования на VipNet (Зарубин от 23.08.2024) 
 
 Коллеги из группы VipNet к ссылкам отношения не имеют, ссылка запрашивается у куратора системы.
 
 Ссылки VipNet: 
 http://pm.admhmao.ru/statehrmcorp/ - Подключение к ГИС УК через Випнет из КС ОГВ
 http://192.168.210.195/statehrmcorp/ - Подключение к ГИС УК через Випнет вне КС ОГВ"
Как настроить VPN-соединение через VipNet для удаленного доступа к корпоративной сети?,"Вопросы, связанные с установкой и настройкой VIPNET (расширение файла .dst) назначаем на категорию и группу: ЮНИИИТ &gt; Средства защиты информации VipNet
 Если вопрос по СЭД Делу и VipNet подключения к нему пример (287489). 
 Добавляем комментарий:
 ""Добрый день!
 1. Проверьте правильность времени, даты и часового пояса
 2. Перезапустите драйвер «Файл» - «Конфигурация» - «Отключить защиту» и так же только «Включить защиту»""
 Если проблема с доступом сохраняется назначаем на СЗИ VipNet
 Випнет для Бюджетных учреждений (БУ) .dst (дст) необходимо согласовывать с ДИТ УИБ
 VipNet обслуживает только исполнительные органы и МФЦ (Энгельса 45)
 Иные МФЦ не обслуживают, поэтому направлять на категорию ""МФЦ Техподдержка"" (пример, 284591)
 Доступ к ИС АКНДПП осуществляется через VipNet (пример 327899)
 доступ через КСПД
 Подведомственные организации не обслуживаются (УТОЧНИТЬ). Например, МИАЦ не обслуживают.
 ---
 Если заявка на подключение к VipNet (кроме руководящего состава, они сразу назначаются на категорию):
 ""Здравствуйте, подскажите, пожалуйста, планируется подключить новых сотрудников на старые (обустроенные) места ?
  Если да, то укажите, пожалуйста, наименование абонентских пунктов VipNet предыдущих пользователей?"" 
 Если указали наименования пунктов, то на VipNet, а если нужен новый, то направляем на согласование ДИТ УИБ, после согласования на VipNet (Зарубин от 23.08.2024) 
 
 Коллеги из группы VipNet к ссылкам отношения не имеют, ссылка запрашивается у куратора системы.
 
 Ссылки VipNet: 
 http://pm.admhmao.ru/statehrmcorp/ - Подключение к ГИС УК через Випнет из КС ОГВ
 http://192.168.210.195/statehrmcorp/ - Подключение к ГИС УК через Випнет вне КС ОГВ"
Как восстановить доступ к VipNet после смены пароля?,"Вопросы, связанные с установкой и настройкой VIPNET (расширение файла .dst) назначаем на категорию и группу: ЮНИИИТ &gt; Средства защиты информации VipNet
 Если вопрос по СЭД Делу и VipNet подключения к нему пример (287489). 
 Добавляем комментарий:
 ""Добрый день!
 1. Проверьте правильность времени, даты и часового пояса
 2. Перезапустите драйвер «Файл» - «Конфигурация» - «Отключить защиту» и так же только «Включить защиту»""
 Если проблема с доступом сохраняется назначаем на СЗИ VipNet
 Випнет для Бюджетных учреждений (БУ) .dst (дст) необходимо согласовывать с ДИТ УИБ
 VipNet обслуживает только исполнительные органы и МФЦ (Энгельса 45)
 Иные МФЦ не обслуживают, поэтому направлять на категорию ""МФЦ Техподдержка"" (пример, 284591)
 Доступ к ИС АКНДПП осуществляется через VipNet (пример 327899)
 доступ через КСПД
 Подведомственные организации не обслуживаются (УТОЧНИТЬ). Например, МИАЦ не обслуживают.
 ---
 Если заявка на подключение к VipNet (кроме руководящего состава, они сразу назначаются на категорию):
 ""Здравствуйте, подскажите, пожалуйста, планируется подключить новых сотрудников на старые (обустроенные) места ?
  Если да, то укажите, пожалуйста, наименование абонентских пунктов VipNet предыдущих пользователей?"" 
 Если указали наименования пунктов, то на VipNet, а если нужен новый, то направляем на согласование ДИТ УИБ, после согласования на VipNet (Зарубин от 23.08.2024) 
 
 Коллеги из группы VipNet к ссылкам отношения не имеют, ссылка запрашивается у куратора системы.
 
 Ссылки VipNet: 
 http://pm.admhmao.ru/statehrmcorp/ - Подключение к ГИС УК через Випнет из КС ОГВ
 http://192.168.210.195/statehrmcorp/ - Подключение к ГИС УК через Випнет вне КС ОГВ"
Как обновить программное обеспечение VipNet до последней версии?,"Вопросы, связанные с установкой и настройкой VIPNET (расширение файла .dst) назначаем на категорию и группу: ЮНИИИТ &gt; Средства защиты информации VipNet
 Если вопрос по СЭД Делу и VipNet подключения к нему пример (287489). 
 Добавляем комментарий:
 ""Добрый день!
 1. Проверьте правильность времени, даты и часового пояса
 2. Перезапустите драйвер «Файл» - «Конфигурация» - «Отключить защиту» и так же только «Включить защиту»""
 Если проблема с доступом сохраняется назначаем на СЗИ VipNet
 Випнет для Бюджетных учреждений (БУ) .dst (дст) необходимо согласовывать с ДИТ УИБ
 VipNet обслуживает только исполнительные органы и МФЦ (Энгельса 45)
 Иные МФЦ не обслуживают, поэтому направлять на категорию ""МФЦ Техподдержка"" (пример, 284591)
 Доступ к ИС АКНДПП осуществляется через VipNet (пример 327899)
 доступ через КСПД
 Подведомственные организации не обслуживаются (УТОЧНИТЬ). Например, МИАЦ не обслуживают.
 ---
 Если заявка на подключение к VipNet (кроме руководящего состава, они сразу назначаются на категорию):
 ""Здравствуйте, подскажите, пожалуйста, планируется подключить новых сотрудников на старые (обустроенные) места ?
  Если да, то укажите, пожалуйста, наименование абонентских пунктов VipNet предыдущих пользователей?"" 
 Если указали наименования пунктов, то на VipNet, а если нужен новый, то направляем на согласование ДИТ УИБ, после согласования на VipNet (Зарубин от 23.08.2024) 
 
 Коллеги из группы VipNet к ссылкам отношения не имеют, ссылка запрашивается у куратора системы.
 
 Ссылки VipNet: 
 http://pm.admhmao.ru/statehrmcorp/ - Подключение к ГИС УК через Випнет из КС ОГВ
 http://192.168.210.195/statehrmcorp/ - Подключение к ГИС УК через Випнет вне КС ОГВ"
Как решить проблему с подключением к VipNet через мобильный интернет?,"Вопросы, связанные с установкой и настройкой VIPNET (расширение файла .dst) назначаем на категорию и группу: ЮНИИИТ &gt; Средства защиты информации VipNet
 Если вопрос по СЭД Делу и VipNet подключения к нему пример (287489). 
 Добавляем комментарий:
 ""Добрый день!
 1. Проверьте правильность времени, даты и часового пояса
 2. Перезапустите драйвер «Файл» - «Конфигурация» - «Отключить защиту» и так же только «Включить защиту»""
 Если проблема с доступом сохраняется назначаем на СЗИ VipNet
 Випнет для Бюджетных учреждений (БУ) .dst (дст) необходимо согласовывать с ДИТ УИБ
 VipNet обслуживает только исполнительные органы и МФЦ (Энгельса 45)
 Иные МФЦ не обслуживают, поэтому направлять на категорию ""МФЦ Техподдержка"" (пример, 284591)
 Доступ к ИС АКНДПП осуществляется через VipNet (пример 327899)
 доступ через КСПД
 Подведомственные организации не обслуживаются (УТОЧНИТЬ). Например, МИАЦ не обслуживают.
 ---
 Если заявка на подключение к VipNet (кроме руководящего состава, они сразу назначаются на категорию):
 ""Здравствуйте, подскажите, пожалуйста, планируется подключить новых сотрудников на старые (обустроенные) места ?
  Если да, то укажите, пожалуйста, наименование абонентских пунктов VipNet предыдущих пользователей?"" 
 Если указали наименования пунктов, то на VipNet, а если нужен новый, то направляем на согласование ДИТ УИБ, после согласования на VipNet (Зарубин от 23.08.2024) 
 
 Коллеги из группы VipNet к ссылкам отношения не имеют, ссылка запрашивается у куратора системы.
 
 Ссылки VipNet: 
 http://pm.admhmao.ru/statehrmcorp/ - Подключение к ГИС УК через Випнет из КС ОГВ
 http://192.168.210.195/statehrmcorp/ - Подключение к ГИС УК через Випнет вне КС ОГВ"
Как решить проблему с подключением к VipNet через мобильный интернет?,"Вопросы, связанные с установкой и настройкой VIPNET (расширение файла .dst) назначаем на категорию и группу: ЮНИИИТ &gt; Средства защиты информации VipNet
 Если вопрос по СЭД Делу и VipNet подключения к нему пример (287489). 
 Добавляем комментарий:
 ""Добрый день!
 1. Проверьте правильность времени, даты и часового пояса
 2. Перезапустите драйвер «Файл» - «Конфигурация» - «Отключить защиту» и так же только «Включить защиту»""
 Если проблема с доступом сохраняется назначаем на СЗИ VipNet
 Випнет для Бюджетных учреждений (БУ) .dst (дст) необходимо согласовывать с ДИТ УИБ
 VipNet обслуживает только исполнительные органы и МФЦ (Энгельса 45)
 Иные МФЦ не обслуживают, поэтому направлять на категорию ""МФЦ Техподдержка"" (пример, 284591)
 Доступ к ИС АКНДПП осуществляется через VipNet (пример 327899)
 доступ через КСПД
 Подведомственные организации не обслуживаются (УТОЧНИТЬ). Например, МИАЦ не обслуживают.
 ---
 Если заявка на подключение к VipNet (кроме руководящего состава, они сразу назначаются на категорию):
 ""Здравствуйте, подскажите, пожалуйста, планируется подключить новых сотрудников на старые (обустроенные) места ?
  Если да, то укажите, пожалуйста, наименование абонентских пунктов VipNet предыдущих пользователей?"" 
 Если указали наименования пунктов, то на VipNet, а если нужен новый, то направляем на согласование ДИТ УИБ, после согласования на VipNet (Зарубин от 23.08.2024) 
 
 Коллеги из группы VipNet к ссылкам отношения не имеют, ссылка запрашивается у куратора системы.
 
 Ссылки VipNet: 
 http://pm.admhmao.ru/statehrmcorp/ - Подключение к ГИС УК через Випнет из КС ОГВ
 http://192.168.210.195/statehrmcorp/ - Подключение к ГИС УК через Випнет вне КС ОГВ"
Как настроить VPN-соединение через VipNet для удаленного доступа к корпоративной сети?,"Вопросы, связанные с установкой и настройкой VIPNET (расширение файла .dst) назначаем на категорию и группу: ЮНИИИТ &gt; Средства защиты информации VipNet
 Если вопрос по СЭД Делу и VipNet подключения к нему пример (287489). 
 Добавляем комментарий:
 ""Добрый день!
 1. Проверьте правильность времени, даты и часового пояса
 2. Перезапустите драйвер «Файл» - «Конфигурация» - «Отключить защиту» и так же только «Включить защиту»""
 Если проблема с доступом сохраняется назначаем на СЗИ VipNet
 Випнет для Бюджетных учреждений (БУ) .dst (дст) необходимо согласовывать с ДИТ УИБ
 VipNet обслуживает только исполнительные органы и МФЦ (Энгельса 45)
 Иные МФЦ не обслуживают, поэтому направлять на категорию ""МФЦ Техподдержка"" (пример, 284591)
 Доступ к ИС АКНДПП осуществляется через VipNet (пример 327899)
 доступ через КСПД
 Подведомственные организации не обслуживаются (УТОЧНИТЬ). Например, МИАЦ не обслуживают.
 ---
 Если заявка на подключение к VipNet (кроме руководящего состава, они сразу назначаются на категорию):
 ""Здравствуйте, подскажите, пожалуйста, планируется подключить новых сотрудников на старые (обустроенные) места ?
  Если да, то укажите, пожалуйста, наименование абонентских пунктов VipNet предыдущих пользователей?"" 
 Если указали наименования пунктов, то на VipNet, а если нужен новый, то направляем на согласование ДИТ УИБ, после согласования на VipNet (Зарубин от 23.08.2024) 
 
 Коллеги из группы VipNet к ссылкам отношения не имеют, ссылка запрашивается у куратора системы.
 
 Ссылки VipNet: 
 http://pm.admhmao.ru/statehrmcorp/ - Подключение к ГИС УК через Випнет из КС ОГВ
 http://192.168.210.195/statehrmcorp/ - Подключение к ГИС УК через Випнет вне КС ОГВ"
